18,1,15.1766890067773
18,2,15.0512045847219
18,3,14.7867470186738
18,4,14.6611232706759
18,5,14.7294791291913
18,6,14.8666328670308
18,7,14.9884507217701
18,8,15.1122844512825
18,9,15.2744963240384
18,10,15.3171423694716
18,11,15.3654251018085
18,12,15.2469611471536
19,1,14.957743191612
19,2,14.6574868793119
19,3,14.1784687592774
19,4,13.6774595155748
19,5,13.1533919977937
19,6,12.6074474619313
19,7,12.2128474041853
19,8,11.8013318747327
19,9,11.3733641198184
19,10,10.9298871613516
19,11,10.6496089043327
19,12,10.3584273852481
20,1,10.0571511717973
20,2,9.74659918407928
20,3,9.42762717391132
20,4,9.10108501152274
20,5,8.95043761199012
20,6,8.79490291074311
